Title,Source,URL
"BMW starts producing new electric model, commits to emissions-free transport at main plant - Reuters",Reuters,https://www.reuters.com/business/autos-transportation/bmw-starts-producing-new-electric-model-commits-emissions-free-transport-main-2021-10-22/
Commercial EV startup ELMS signs battery supply deal with CATL - Reuters.com,Reuters,https://www.reuters.com/article/electric-last-batteries-idUSKBN2H4168
Italy to put aside 300 mln euros to fund low emission car purchases - draft - Reuters,Reuters,https://www.reuters.com/business/environment/italy-put-aside-300-mln-euros-fund-low-emission-car-purchases-draft-2021-10-15/
Business Updates: WeWork Stock to Begin Trading Thursday,New York Times,https://www.nytimes.com/live/2021/10/21/business/news-business-stock-market
UK electric car inquiries soar during fuel supply crisis,The Guardian,https://amp.theguardian.com/environment/2021/sep/27/uk-electric-car-inquiries-soar-fuel-supply-crisis
Factbox: EV and battery makers target $24 billion for southern U.S. plants - Reuters,Reuters,https://www.reuters.com/business/autos-transportation/ev-battery-makers-target-24-billion-southern-us-plants-2021-10-08/
VW's 9-month electric vehicle deliveries to China more than triple - Reuters,Reuters,https://www.reuters.com/business/autos-transportation/vws-9-month-electric-vehicle-deliveries-china-more-than-triple-2021-10-15/
VW labour boss wants faster electric car rollout at Wolfsburg - Braunschweiger Zeitung - Reuters,Reuters,https://www.reuters.com/business/autos-transportation/vw-labour-boss-wants-faster-electric-car-rollout-wolfsburg-braunschweiger-2021-10-02/
"Electric vehicle battery startup ONE backed by BMW, Gates-led firm - Reuters",Reuters,https://www.reuters.com/technology/electric-vehicle-battery-startup-one-backed-by-bmw-gates-led-firm-2021-10-18/
WRAPUP Carmakers shift up a gear in race to go electric - Reuters,Reuters,https://www.reuters.com/business/autos-transportation/wrapup-carmakers-shift-up-gear-race-go-electric-2021-10-18/
Dutch forensic lab says it has decoded Tesla's driving data - Reuters.com,Reuters,https://www.reuters.com/article/autos-tesla-netherlands-data-idUSKBN2HB1D3
Toyota exec: Not everyone should drive a battery electric vehicle - Reuters,Reuters,https://www.reuters.com/business/autos-transportation/toyota-exec-not-everyone-should-drive-battery-electric-vehicle-2021-10-21/
2 Copper Stocks to Buy on the Dip,StockNews.com,https://stocknews.com/news/ngloy-scco-2-copper-stocks-to-buy-on-the-dip/
China to set assessment measures to regulate data sent abroad by cars - Reuters,Reuters,https://www.reuters.com/business/autos-transportation/china-set-assessment-measures-regulate-data-sent-abroad-by-cars-2021-10-11/
Toyota to invest $3.4 billion on U.S. automotive batteries through 2030 - Reuters,Reuters,https://www.reuters.com/business/autos-transportation/toyota-invest-34-billion-us-automotive-batteries-through-2030-2021-10-18/
Rishi Sunak to launch £1.4bn fund to attract more overseas investment,The Guardian,https://amp.theguardian.com/uk-news/2021/oct/24/rishi-sunak-to-launch-fund-to-attract-more-overseas-investment
Taiwan's Foxconn shows off three electric vehicle prototypes - Reuters,Reuters,https://www.reuters.com/business/autos-transportation/taiwans-foxconn-shows-off-three-electric-vehicle-prototypes-2021-10-18/
Engine No. 1 backs GM's strategy around transition to EVs - Reuters,Reuters,https://www.reuters.com/business/autos-transportation/engine-no-1-backs-gms-strategy-around-transition-evs-2021-10-04/
Tesla's Musk dials into Volkswagen executive conference - Flipboard,Flipboard.com,https://flipboard.com/article/tesla-s-musk-dials-into-volkswagen-executive-conference/f-8dfe0c7428%2Freuters.com
"China's EV sales expected to exceed 35% in 2025, Xpeng CEO says - Reuters",Reuters,https://www.reuters.com/world/china/chinas-ev-sales-expected-exceed-35-2025-xpeng-ceo-says-2021-10-19/
EXCLUSIVE GM aims to profit from software as it broadens its EV lineup - Reuters,Reuters,https://www.reuters.com/business/autos-transportation/exclusive-gm-aims-profit-software-it-broadens-its-ev-lineup-2021-10-01/
"Nikola, TC Energy to jointly develop hydrogen production plants in U.S., Canada - Reuters",Reuters,https://www.reuters.com/business/energy/nikola-tc-energy-jointly-develop-hydrogen-production-plants-us-canada-2021-10-07/
Exclusive-GM aims to profit from software as it broadens its EV lineup - Reuters.com,Reuters,https://www.reuters.com/article/autos-gm-investor-day-exclusive-idUSKBN2GR476
"BMW ready for any ban on fossil fuel-burning cars from 2030, CEO says - Reuters",Reuters,https://www.reuters.com/business/sustainable-business/bmw-ready-any-ban-fossil-fuel-burning-cars-2030-ceo-says-2021-10-14/
"Canada criticizes proposed U.S. EV tax credit, says could harm auto sector - Reuters",Reuters,https://www.reuters.com/world/americas/canada-criticizes-proposed-us-ev-tax-credit-says-could-harm-auto-sector-2021-10-22/
"Amid the petrol crisis, is it time to switch to an electric car?",The Guardian,https://amp.theguardian.com/money/2021/oct/10/amid-the-petrol-crisis-is-it-time-to-switch-to-an-electric-car
Tesla pushes Norway's EV sales to new record - Reuters,Reuters,https://www.reuters.com/business/autos-transportation/tesla-pushes-norways-ev-sales-new-record-2021-10-01/
"GM's commercial EV unit to expand vehicle lineup, add Verizon as customer - Reuters",Reuters,https://www.reuters.com/article/gm-commercial-vehicles-electric-idUSKBN2GO1DR
Dutch forensic lab says it has decoded Tesla's driving data - Reuters,Reuters,https://www.reuters.com/business/autos-transportation/dutch-forensic-lab-says-it-has-decoded-teslas-driving-data-2021-10-21/
"Tesla sold more than 56,000 China-made electric cars in September, a record high",Business Insider,https://www.businessinsider.com/tesla-china-elon-musk-sales-electric-vehicles-production-shanghai-2021-10
Spain's car manufacturers expect 2021 sales to remain below 2019 levels - Reuters,Reuters,https://www.reuters.com/business/autos-transportation/spains-car-manufacturers-expect-2021-sales-remain-below-2019-levels-2021-09-30/
"At least 50% of Aston Martin car sales should be electric by 2030, says CEO - Reuters",Reuters,https://www.reuters.com/business/autos-transportation/least-50-aston-martin-car-sales-should-be-electric-by-2030-says-ceo-2021-10-19/
UK public warms to road pricing as fuel duty replacement considered,The Guardian,https://amp.theguardian.com/politics/2021/oct/15/uk-public-warms-to-road-pricing-fuel-duty-replacement-considered
ABB launches world's fastest electric car charger - Reuters,Reuters,https://www.reuters.com/business/autos-transportation/abb-launches-worlds-fastest-electric-car-charger-2021-09-30/
China's electric carmakers make their move on Europe - Reuters,Reuters,https://www.reuters.com/business/autos-transportation/chinas-electric-carmakers-make-their-move-europe-2021-09-30/
"Forget about cars: Honda wants flying vehicles, avatar robots, and rockets",The Next Web,https://thenextweb.com/news/forget-about-cars-honda-wants-flying-vehicles-avatar-robots-rockets-lunar-tech
Porsche is selling more electric Taycans than its flagship sports car,Business Insider,https://www.businessinsider.com/porsche-electric-car-taycan-sales-top-iconic-911-q3-2021-10
"Polestar, the Swedish EV maker backed by Volvo and Leonardo DiCaprio, is going public via $20 billion SPAC deal",Business Insider,https://markets.businessinsider.com/news/stocks/polestar-ev-car-auto-public-merger-spac-20-billion-deal-2021-9
No time for the battery to die: Bond's Aston Martin goes electric - Reuters,Reuters,https://www.reuters.com/business/autos-transportation/no-time-battery-die-bonds-aston-martin-goes-electric-2021-10-08/
"Tata Motors raises close to $1 billion from TPG, ADQ for EV business - Reuters",Reuters,https://www.reuters.com/article/tata-motors-electric-tpg-idUSL4N2R81XQ
"Foxconn, Lordstown Motors to pursue U.S. loan for EV factory - Reuters.com",Reuters,https://www.reuters.com/article/lordstown-foxconn-idUSKBN2GR3ZL
Volvo Trucks says launches world's first fossil-free steel vehicle - Reuters,Reuters,https://www.reuters.com/business/sustainable-business/volvo-trucks-says-launches-worlds-first-fossil-free-steel-vehicle-2021-10-13/
"Tesla's Shanghai factory is on track to have produced 300,000 cars by end of September, despite the global chip shortage",Business Insider,https://www.businessinsider.com/tesla-shanghai-factory-global-chip-shortage-300000-cars-2021-9
Factbox: FACTB0X GM's ambitious agenda to show investors it can out-Tesla Tesla - Reuters,Reuters,https://www.reuters.com/business/factb0x-gms-ambitious-agenda-show-investors-it-can-out-tesla-tesla-2021-10-06/
