Name,Subtitle,Efficiency,FastChargeSpeed,Power,NumberofSeats,PriceinGermany,PriceinUK,Range (ml),Acceleration Per/Sec,Top Speed (KM/H),Price_USD,Is_front_wheel_drive,Is_All_Wheel_Drive,Is_Rear_Wheel_Drive,Speed New,Battery_clean
MG MG5 EV,Battery Electric Vehicle |       48.8 kWh,165 Wh/km,340 km/h,Front Wheel Drive,5,0,"£25,095",295,7.7,185,0.0,True,False,False,211.27,48.8
Volkswagen ID.4 Pro Performance,Battery Electric Vehicle |       77 kWh,188 Wh/km,500 km/h,Rear Wheel Drive,5,44450,"£41,570",410,8.5,160,51573.19,False,False,True,310.69,77.0
Mercedes EQV 300 Extra-Long,Battery Electric Vehicle |       90 kWh,281 Wh/km,280 km/h,Front Wheel Drive,7,72281,,320,12.1,160,83864.15,True,False,False,173.98,90.0
Lucid Air Grand Touring,Battery Electric Vehicle |       110 kWh ,167 Wh/km,1380 km/h,All Wheel Drive,5,140000,"£125,000",660,3.2,270,162435.23,False,True,False,857.49,110.0
Lucid Air Touring,Battery Electric Vehicle |       85 kWh ,160 Wh/km,1390 km/h,All Wheel Drive,5,95000,"£90,000",530,3.4,250,110223.91,False,True,False,863.71,85.0
Lucid Air Pure,Battery Electric Vehicle |       85 kWh ,157 Wh/km,1410 km/h,Rear Wheel Drive,5,80000,"£70,000",540,4.2,200,92820.13,False,False,True,876.13,85.0
Dacia Spring Electric,Battery Electric Vehicle |       26.8 kWh ,158 Wh/km,120 km/h,Front Wheel Drive,4,20490,,170,15.0,125,23773.56,True,False,False,74.56,26.8
Tesla Model 3 Standard Range Plus LFP,Battery Electric Vehicle |       51 kWh ,150 Wh/km,570 km/h,Rear Wheel Drive,5,43560,"£40,990",340,5.6,225,50540.56,False,False,True,354.18,51.0
Tesla Model 3 Long Range Dual Motor,Battery Electric Vehicle |       70 kWh ,154 Wh/km,570 km/h,All Wheel Drive,5,0,"£48,490",455,4.4,233,0.0,False,True,False,354.18,70.0
Tesla Model 3 Performance,Battery Electric Vehicle |       76 kWh ,162 Wh/km,790 km/h,All Wheel Drive,5,58560,"£59,990",470,3.3,261,67944.34,False,True,False,490.88,76.0
Fiat 500e Hatchback 24 kWh,Battery Electric Vehicle |       23.8 kWh ,144 Wh/km,260 km/h,Front Wheel Drive,4,23560,"£20,495",165,9.5,135,27335.53,True,False,False,161.56,23.8
Fiat 500e 3+1,Battery Electric Vehicle |       37.3 kWh ,152 Wh/km,410 km/h,Front Wheel Drive,4,29560,,245,9.0,150,34297.04,True,False,False,254.76,37.3
Mercedes EQC 400 4MATIC,Battery Electric Vehicle |       80 kWh,216 Wh/km,440 km/h,All Wheel Drive,5,66069,"£65,720",370,5.1,180,76656.67,False,True,False,273.4,80.0
