Name,Subtitle,Efficiency,FastChargeSpeed,Power,NumberofSeats,PriceinGermany,PriceinUK,Range (ml),Acceleration Per/Sec,Top Speed (KM/H)
Byton M-Byte 72 kWh 2WD,Battery Electric Vehicle |       72 kWh ,222 Wh/km,420 km/h,Rear Wheel Drive,5,"€53,500","£50,000",325,7.5,190
Byton M-Byte 95 kWh 4WD,Battery Electric Vehicle |       95 kWh ,244 Wh/km,460 km/h,All Wheel Drive,5,"€64,000","£60,000",390,5.5,190
Renault Zoe ZE40 R110,Battery Electric Vehicle |       41 kWh,161 Wh/km,230 km/h,Front Wheel Drive,5,"€29,990",,255,11.4,135
Porsche Taycan 4S,Battery Electric Vehicle |       71 kWh,189 Wh/km,750 km/h,All Wheel Drive,4,"€106,487","£83,580",375,4.0,250
Porsche Taycan 4S Plus,Battery Electric Vehicle |       83.7 kWh,192 Wh/km,910 km/h,All Wheel Drive,4,"€113,008","£88,193",435,4.0,250
Hyundai Kona Electric 39 kWh,Battery Electric Vehicle |       39.2 kWh,157 Wh/km,210 km/h,Front Wheel Drive,5,"€34,850",,250,9.9,155
Mercedes EQV 300 Long,Battery Electric Vehicle |       90 kWh,281 Wh/km,280 km/h,Front Wheel Drive,7,"€71,388","£70,665",320,12.1,160
Mazda MX-30 ,Battery Electric Vehicle |       30 kWh ,176 Wh/km,180 km/h,Front Wheel Drive,5,"€34,490","£26,045",170,9.7,140
Ford Mustang Mach-E SR RWD,Battery Electric Vehicle |       68 kWh,197 Wh/km,380 km/h,Rear Wheel Drive,5,"€46,900","£41,330",345,6.9,180
Ford Mustang Mach-E ER RWD,Battery Electric Vehicle |       88 kWh,200 Wh/km,430 km/h,Rear Wheel Drive,5,"€54,475","£49,980",440,7.0,180
Ford Mustang Mach-E SR AWD,Battery Electric Vehicle |       68 kWh,206 Wh/km,360 km/h,All Wheel Drive,5,"€54,000","£46,650",330,6.3,180
Ford Mustang Mach-E ER AWD,Battery Electric Vehicle |       88 kWh,210 Wh/km,410 km/h,All Wheel Drive,5,"€62,900","£57,030",420,5.8,180
Ford Mustang Mach-E GT,Battery Electric Vehicle |       88 kWh,215 Wh/km,400 km/h,All Wheel Drive,5,,"£67,225",410,4.4,200
Audi e-tron Sportback 50 quattro,Battery Electric Vehicle |       64.7 kWh,219 Wh/km,490 km/h,All Wheel Drive,5,"€71,350","£69,100",295,6.8,190
Tesla Cybertruck Single Motor,Battery Electric Vehicle |       100 kWh ,256 Wh/km,740 km/h,Rear Wheel Drive,7,"€45,000","£39,000",390,7.0,180
Tesla Cybertruck Dual Motor,Battery Electric Vehicle |       120 kWh ,261 Wh/km,710 km/h,All Wheel Drive,7,"€55,000","£48,000",460,5.0,190
Tesla Cybertruck Tri Motor,Battery Electric Vehicle |       200 kWh ,267 Wh/km,710 km/h,All Wheel Drive,7,"€75,000","£68,000",750,3.0,210
Lexus UX 300e,Battery Electric Vehicle |       50 kWh ,192 Wh/km,150 km/h,Front Wheel Drive,5,"€47,550","£43,900",260,7.5,160
BMW i4 eDrive40,Battery Electric Vehicle |       80.7 kWh,170 Wh/km,660 km/h,Rear Wheel Drive,5,"€58,300","£51,905",475,5.7,190
Audi e-tron 55 quattro,Battery Electric Vehicle |       86.5 kWh,237 Wh/km,590 km/h,All Wheel Drive,5,,"£71,500",365,5.7,200
Aiways U5 ,Battery Electric Vehicle |       63 kWh ,188 Wh/km,350 km/h,Front Wheel Drive,5,"€35,993",,335,7.5,150
Renault Twingo Electric,Battery Electric Vehicle |       21.3 kWh,164 Wh/km,-,Rear Wheel Drive,4,"€24,790",,130,12.6,135
Audi e-tron S 55 quattro,Battery Electric Vehicle |       86.5 kWh,270 Wh/km,510 km/h,All Wheel Drive,5,"€93,800","£87,000",320,4.5,210
Audi e-tron S Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,258 Wh/km,540 km/h,All Wheel Drive,5,"€96,050","£88,700",335,4.5,210
Volkswagen ID.4 1st,Battery Electric Vehicle |       77 kWh,188 Wh/km,500 km/h,Rear Wheel Drive,5,,"£40,800",410,8.5,160
Byton M-Byte 95 kWh 2WD,Battery Electric Vehicle |       95 kWh ,238 Wh/km,480 km/h,Rear Wheel Drive,5,"€62,000","£57,500",400,7.5,190
Fiat 500e Cabrio,Battery Electric Vehicle |       37.3 kWh ,152 Wh/km,410 km/h,Front Wheel Drive,4,"€30,560","£26,645",245,9.0,150
Opel Mokka-e ,Battery Electric Vehicle |       45 kWh ,176 Wh/km,340 km/h,Front Wheel Drive,5,"€34,110","£30,540",255,8.5,150
Skoda Enyaq iV 60,Battery Electric Vehicle |       58 kWh,176 Wh/km,420 km/h,Rear Wheel Drive,5,"€38,850","£31,995",330,8.7,160
Skoda Enyaq iV 80,Battery Electric Vehicle |       77 kWh,183 Wh/km,510 km/h,Rear Wheel Drive,5,"€43,950","£39,350",420,8.6,160
Skoda Enyaq iV 80X,Battery Electric Vehicle |       77 kWh,190 Wh/km,500 km/h,All Wheel Drive,5,"€47,000","£42,000",405,6.9,160
Skoda Enyaq iV RS,Battery Electric Vehicle |       77 kWh,195 Wh/km,480 km/h,All Wheel Drive,5,"€50,000","£45,000",395,6.2,180
Fiat 500e Hatchback 42 kWh,Battery Electric Vehicle |       37.3 kWh ,149 Wh/km,420 km/h,Front Wheel Drive,4,"€27,560","£23,995",250,9.0,150
Citroen e-C4 ,Battery Electric Vehicle |       45 kWh ,180 Wh/km,330 km/h,Front Wheel Drive,5,"€34,640","£30,895",250,9.7,150
Jaguar I-Pace EV400,Battery Electric Vehicle |       84.7 kWh,232 Wh/km,340 km/h,All Wheel Drive,5,"€77,300","£65,195",365,4.8,200
Kia e-Soul 64 kWh,Battery Electric Vehicle |       64 kWh,173 Wh/km,350 km/h,Front Wheel Drive,5,"€37,790",,370,7.9,167
Kia e-Soul 39 kWh,Battery Electric Vehicle |       39.2 kWh,170 Wh/km,220 km/h,Front Wheel Drive,5,"€33,990",,230,9.9,157
Audi Q4 Sportback e-tron 35,Battery Electric Vehicle |       51.5 kWh,175 Wh/km,410 km/h,Rear Wheel Drive,5,"€43,900","£42,250",295,9.0,160
Nissan Ariya 63kWh,Battery Electric Vehicle |       63 kWh,188 Wh/km,450 km/h,Front Wheel Drive,5,"€45,000","£40,000",335,7.5,160
Nissan Ariya 87kWh,Battery Electric Vehicle |       87 kWh,196 Wh/km,530 km/h,Front Wheel Drive,5,"€50,000","£45,000",445,7.6,160
Nissan Ariya e-4ORCE 63kWh,Battery Electric Vehicle |       63 kWh,194 Wh/km,440 km/h,All Wheel Drive,5,"€50,000","£45,000",325,5.9,200
Nissan Ariya e-4ORCE 87kWh,Battery Electric Vehicle |       87 kWh,207 Wh/km,500 km/h,All Wheel Drive,5,"€57,500","£52,500",420,5.7,200
Nissan Ariya e-4ORCE 87kWh Performance,Battery Electric Vehicle |       87 kWh,226 Wh/km,460 km/h,All Wheel Drive,5,"€65,000","£57,500",385,5.1,200
Volkswagen ID.3 Pro Performance,Battery Electric Vehicle |       58 kWh,166 Wh/km,440 km/h,Rear Wheel Drive,5,"€36,495","£29,740",350,7.3,160
MG MG5 EV,Battery Electric Vehicle |       48.8 kWh,165 Wh/km,340 km/h,Front Wheel Drive,5,,"£25,095",295,7.7,185
Volkswagen ID.4 Pro Performance,Battery Electric Vehicle |       77 kWh,188 Wh/km,500 km/h,Rear Wheel Drive,5,"€44,450","£41,570",410,8.5,160
Mercedes EQV 300 Extra-Long,Battery Electric Vehicle |       90 kWh,281 Wh/km,280 km/h,Front Wheel Drive,7,"€72,281",,320,12.1,160
Lucid Air Grand Touring,Battery Electric Vehicle |       110 kWh ,167 Wh/km,1380 km/h,All Wheel Drive,5,"€140,000","£125,000",660,3.2,270
Lucid Air Touring,Battery Electric Vehicle |       85 kWh ,160 Wh/km,1390 km/h,All Wheel Drive,5,"€95,000","£90,000",530,3.4,250
Lucid Air Pure,Battery Electric Vehicle |       85 kWh ,157 Wh/km,1410 km/h,Rear Wheel Drive,5,"€80,000","£70,000",540,4.2,200
Dacia Spring Electric,Battery Electric Vehicle |       26.8 kWh ,158 Wh/km,120 km/h,Front Wheel Drive,4,"€20,490",,170,15.0,125
Tesla Model 3 Standard Range Plus LFP,Battery Electric Vehicle |       51 kWh ,150 Wh/km,570 km/h,Rear Wheel Drive,5,"€43,560","£40,990",340,5.6,225
Tesla Model 3 Long Range Dual Motor,Battery Electric Vehicle |       70 kWh ,154 Wh/km,570 km/h,All Wheel Drive,5,,"£48,490",455,4.4,233
Tesla Model 3 Performance,Battery Electric Vehicle |       76 kWh ,162 Wh/km,790 km/h,All Wheel Drive,5,"€58,560","£59,990",470,3.3,261
Fiat 500e Hatchback 24 kWh,Battery Electric Vehicle |       23.8 kWh ,144 Wh/km,260 km/h,Front Wheel Drive,4,"€23,560","£20,495",165,9.5,135
Fiat 500e 3+1,Battery Electric Vehicle |       37.3 kWh ,152 Wh/km,410 km/h,Front Wheel Drive,4,"€29,560",,245,9.0,150
Mercedes EQC 400 4MATIC,Battery Electric Vehicle |       80 kWh,216 Wh/km,440 km/h,All Wheel Drive,5,"€66,069","£65,720",370,5.1,180
Kia e-Niro 64 kWh,Battery Electric Vehicle |       64 kWh,173 Wh/km,350 km/h,Front Wheel Drive,5,"€39,090","£32,445",370,7.8,167
Kia e-Niro 39 kWh,Battery Electric Vehicle |       39.2 kWh,167 Wh/km,230 km/h,Front Wheel Drive,5,"€35,290","£30,345",235,9.8,155
Citroen e-SpaceTourer XS 50 kWh,Battery Electric Vehicle |       45 kWh ,243 Wh/km,250 km/h,Front Wheel Drive,7,"€50,880",,185,12.1,130
Citroen e-SpaceTourer M 50 kWh,Battery Electric Vehicle |       45 kWh ,243 Wh/km,250 km/h,Front Wheel Drive,7,"€51,440","£31,995",185,12.1,130
Citroen e-SpaceTourer XL 50 kWh,Battery Electric Vehicle |       45 kWh ,250 Wh/km,240 km/h,Front Wheel Drive,7,"€52,230",,180,12.1,130
Citroen e-SpaceTourer M 75 kWh,Battery Electric Vehicle |       68 kWh ,252 Wh/km,290 km/h,Front Wheel Drive,7,"€57,440",,270,13.3,130
Citroen e-SpaceTourer XL 75 kWh,Battery Electric Vehicle |       68 kWh ,252 Wh/km,290 km/h,Front Wheel Drive,7,"€58,230",,270,13.3,130
Opel Zafira-e Life S 50 kWh,Battery Electric Vehicle |       45 kWh ,243 Wh/km,250 km/h,Front Wheel Drive,7,"€56,700",,185,12.1,130
Opel Zafira-e Life M 50 kWh,Battery Electric Vehicle |       45 kWh ,243 Wh/km,250 km/h,Front Wheel Drive,7,"€53,800",,185,12.1,130
Opel Zafira-e Life L 50 kWh,Battery Electric Vehicle |       45 kWh ,250 Wh/km,240 km/h,Front Wheel Drive,7,"€54,625","£49,465",180,12.1,130
Opel Zafira-e Life M 75 kWh,Battery Electric Vehicle |       68 kWh ,252 Wh/km,290 km/h,Front Wheel Drive,7,"€59,800",,270,13.3,130
Opel Zafira-e Life L 75 kWh,Battery Electric Vehicle |       68 kWh ,252 Wh/km,290 km/h,Front Wheel Drive,7,"€60,625",,270,13.3,130
Peugeot e-Traveller Compact 50 kWh,Battery Electric Vehicle |       45 kWh ,243 Wh/km,250 km/h,Front Wheel Drive,7,"€50,880",,185,12.1,130
Peugeot e-Traveller Standard 50 kWh,Battery Electric Vehicle |       45 kWh ,243 Wh/km,250 km/h,Front Wheel Drive,7,"€55,900","£49,065",185,13.1,130
Peugeot e-Traveller Long 50 kWh,Battery Electric Vehicle |       45 kWh ,243 Wh/km,250 km/h,Front Wheel Drive,7,"€56,690","£49,905",185,13.1,130
Peugeot e-Traveller Standard 75 kWh,Battery Electric Vehicle |       68 kWh ,252 Wh/km,290 km/h,Front Wheel Drive,7,"€57,440",,270,13.3,130
